Date,Open,Close,Low,High,Volume,Type,RSI_5,RSI_20,RSI_50,RSI_200,PCT_5,PCT_20,PCT_50,PCT_200
1985-09-25,111.175,111.175,111.175,111.175,0,index,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985-09-26,110.64,110.64,110.64,110.64,0,index,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
1985-09-27,110.64,110.64,110.64,110.64,0,index,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985-09-30,110.62,110.62,110.62,110.62,0,index,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985-10-01,110.62,112.16,110.565,112.14,153160000,index,73.50835322195721,73.50835322195721,73.50835322195721,73.50835322195721,0.8859905554306269,0.0,0.0,0.0
1985-10-02,112.14,112.54,110.78,110.825,164640000,index,77.57575757575782,77.57575757575782,77.57575757575782,77.57575757575782,1.7172812725958113,0.0,0.0,0.0
1985-10-03,110.84,111.185,110.12,110.87,147300000,index,58.27010622154782,50.130548302872135,50.130548302872135,50.130548302872135,0.49258857556037755,0.0,0.0,0.0
1985-10-04,110.87,110.87,109.855,110.075,147900000,index,53.1855955678671,46.32086851628476,46.32086851628476,46.32086851628476,0.225998915205207,0.0,0.0,0.0
1985-10-07,110.075,110.135,108.175,108.2,128640000,index,44.39306358381504,39.34426229508203,39.34426229508203,39.34426229508203,-1.8054564907275246,0.0,0.0,0.0
1985-10-08,108.2,108.27,106.75,107.16,144100000,index,8.172043010752859,28.46553002223871,28.46553002223871,28.46553002223871,-3.7942065043540163,0.0,0.0,0.0
1985-10-09,107.16,108.99,107.115,108.63,156200000,index,14.428857715430809,35.36503683858004,35.36503683858004,35.36503683858004,-1.974187165534926,0.0,0.0,0.0
1985-10-10,108.63,109.51,107.81,109.435,154840000,index,29.84356197352598,39.57420162805267,39.57420162805267,39.57420162805267,-1.2266618562280143,0.0,0.0,0.0
1985-10-11,109.435,111.12,109.425,111.05,158220000,index,52.29357798165137,49.713392391870805,49.713392391870805,49.713392391870805,0.8943569255913192,0.0,0.0,0.0
1985-10-14,111.05,113.27,111.05,113.185,123120000,index,72.83321194464666,58.91868880374626,58.91868880374626,58.91868880374626,4.618084418583171,0.0,0.0,0.0
1985-10-15,113.185,113.98,112.79,113.38,171360000,index,100.0,61.26053793657167,61.26053793657167,61.26053793657167,4.578401688228286,0.0,0.0,0.0
1985-10-16,113.38,114.34,113.2,114.315,175120000,index,100.0,62.34880998829498,62.34880998829498,62.34880998829498,4.41055611359693,0.0,0.0,0.0
1985-10-17,114.315,115.34,114.315,114.74,190940000,index,100.0,65.07419471588854,65.07419471588854,65.07419471588854,3.797696184305254,0.0,0.0,0.0
